FamilyCaseID,RoundNumber
Hol040882,7
Hol033051,7
Hol040879,7
Hol035944,7
Hol040850,7
Hol033012,7
Hol020634,7
Hol030768,7
Hol033517,7
Hol035805,7
Hol033529,7
Hol030577,7
Hol033405,7
Hol030897,7
Hol024096,7
Hol024784,7
Hol033159,7
Hol035507,7
Hol030793,7
Hol030870,7
Hol036539,7
Hol035154,7
Hol033492,7
Hol035129,7
Hol032950,7
Hol040295,7
hol039187,7
Hol040241,7
Hol031843,7
Hol029588,7
Hol037573,7
Hol035373,7
Hol035363,7
Hol040428,7
Hol040861,7
Hol027853,7
Hol037691,7
Hol037685,7
Hol037628,7
Hol027476,7
Hol037545,7
Hol033411,7
Hol040917,7
Hol030454,7
Hol035877,7
Hol033733,7
Hol035887,7
Hol034003,7
Hol033966,7
Hol034547,7
Hol020431,7
Hol030651,7
Hol038327,7
Hol033205,7
Hol035951,7
Hol038331,7
Hol027262,7
Hol029547,7
hol028447,7
Hol027305,7
Hol033667,7
Hol035430,7
Hol030431,7
Hol035427,7
Hol032779,7
Hol033421,7
Hol032835,7
Hol032783,7
Hol032842,7
Hol033652,7
Hol034805A,7
Hol034805B,7
Hol037987,7
Hol040768,7
Hol033413,7
Hol033412,7
Hol034993,7
Hol032140,7
Hol034825,7
Hol030549,7
Hol034788,7
Hol034916,7
Hol032502,7
Hol032328,7
Hol031470,7
Hol031765,7
Hol040824,7
Hol040437,7
Hol033945,7
Hol033946,7
Hol024763,7
Hol036195,7
Hol036530,7
Hol036497,7
Hol029397,7
Hol040771,7
Hol030649,7
Hol035362,7
Hol030652,7
Hol030538,7
Hol031966,7
Hol033420,7
Hol033040,7
Hol034289,7
Hol040296,7
Hol040765,7
Hol036061,7
Hol036136,7
Hol036695,7
Hol034742,7
Hol040342,7
Hol037680,7
Hol033082,7
Hol035275,7
Hol035899,7
hol040847,7
Hol037566,7
Hol035963,7
Hol040722,7
Hol030806,7
Hol036584,7
Hol036561,7
Hol036565,7
Hol026645,7
Hol027274,7
Hol040766,7
Hol040770,7
Hol020952,7
Hol036052,7
Hol035937,7
Hol036596,7
Hol036185,7
Hol037805,7
Hol016999,7
Hol027285,7
Hol017013,7
Hol040477,7
Hol034481,7
Hol034265,7
Hol034478,7
Hol034306,7
Hol026288,7
Hol039205,7
Hol037683,7
Hol030753,7
Hol030868,7
Hol030857,7
Hol030880,7
Hol030515,7
Hol036532,7
Hol030324,7
Hol033422,7
Hol034403,7
Hol031737,7
Hol031769,7
Hol031740,7
Hol030099,7
Hol029956,7
Hol035906,7
Hol032818,7
Hol035844,7
Hol035820,7
Hol036602,7
Hol030330,7
Hol027615,7
Hol037560,7
Hol036175,7
Hol037024,7
Hol039168,7
Hol034138,7
Hol028138,7
Hol039216,7
Hol024928,7
Hol038390,7
Hol035004,7
Hol030471,7
Hol035523,7
Hol038375,7
Hol031987,7
Hol039009,7
Hol036651,7
Hol040435,7
Hol034888,7
Hol022638,7
Hol022629,7
Hol039108,7
Hol038958,7
Hol036238,7
Hol027090,7
Hol033952,7
Hol036657,7
Hol036042,7
Hol035957,7
Hol031981,7
Hol032515,7
Hol030804,7
Hol030798,7
Hol034917,7
Hol034882,7
Hol034977,7
Hol040633,7
Hol034650,7
Hol033419,7
Hol036591,7
Hol036160,7
Hol033839,7
Hol036454,7
Hol031808,7
Hol031829,7
Hol031822,7
Hol037655,7
Hol037678,7
Hol037630,7
Hol037709,7
Hol024578,7
Hol037711,7
Hol037568,7
Hol034202,7
Hol035546,7
Hol038569,7
Hol033737,7
Hol034259,7
Hol033184,7
Hol030055,7
Hol033019,7
Hol033163,7
Hol036102,7
Hol031891,7
Hol031892,7
Hol038427,7
Hol033588,7
Hol035073,7
Hol033708,7
Hol034299,7
Hol040511,7
Hol033400,7
Hol039880,7
Hol040888,7
Hol036523,7
Hol040767,7
Hol027016,7
Hol036282,7
Hol037220,7
Hol037219,7
Hol031893,7
Hol031896,7
Hol033041,7
Hol031894,7
Hol040833,7
Hol022841,7
Hol032758,7
Hol040385,7
Hol031800,7
Hol039862,7
Hol033882,7
Hol033878,7
Hol037098,7
Hol031255,7
Hol031153,7
Hol036239,7
Hol037597,7
Hol031128,7
Hol030648,7
Hol037603,7
Hol033994,7
Hol030417,7
Hol033699,7
Hol028137,7
Hol031807,7
Hol033876,7
Hol034036,7
Hol034004,7
Hol031878,7
Hol034021,7
Hol033584,7
Hol022728,7
Hol030489,7
Hol025365,7
Hol031813,7
Hol031842,7
Hol035472,7
Hol034214,7
Hol034253,7
Hol036575,7
Hol033605,7
Hol031830,7
Hol024210,7
Hol029326,7
Hol024338,7
Hol024337,7
Hol029356,7
Hol023342,7
Hol024106,7
Hol040826,7
Hol030018,7
Hol040501,7
Hol032820,7
Hol035441,7
Hol037818,7
Hol035436,7
Hol034836,7
Hol034304,7
Hol034821,7
Hol036172,7
Hol036176,7
Hol036144,7
Hol040729,7
Hol032815,7
Hol037830,7
Hol040818,7
Hol035874,7
Hol031076,7
Hol034054,7
Hol034046,7
Hol034274,7
Hol034281,7
Hol034791,7
Hol037695,7
Hol035370,7
Hol035464,7
Hol037676,7
Hol022560,7
