FamilyCaseID,RoundNumber
THC00429A,5
THC00429B,5
THC00703A,5
THC00703B,5
THC00728A,5
THC00728B,5
THC01098A,5
THC01098B,5
THC01228A,5
THC01228B,5
THC01281A,5
THC01281B,5
THC01584A,5
THC01584B,5
THC01697A,5
THC01697B,5
THC01769A,5
THC01769B,5
THC01772A,5
THC01772B,5
THC01815A,5
THC01815B,5
THC02006A,5
THC02006B,5
THC02041A,5
THC02041B,5
THC02124A,5
THC02124B,5
THC02161A,5
THC02161B,5
THC02255A,5
THC02255B,5
THC02417A,5
THC02417B,5
THC02499A,5
THC02499B,5
THC02504A,5
THC02504B,5
THC02508A,5
THC02508B,5
THC02737A,5
THC02737B,5
THC03026A,5
THC03026B,5
THC03029A,5
THC03029B,5
THC03035A,5
THC03035B,5
THC03036A,5
THC03036B,5
THC03039A,5
THC03039B,5
THC03041A,5
THC03041B,5
THC03049A,5
THC03049B,5
THC03088A,5
THC03088B,5
THC03090A,5
THC03090B,5
THC03106A,5
THC03106B,5
THC03113A,5
THC03113B,5
THC03453A,5
THC03453B,5
THC03454A,5
THC03454B,5
THC00046A,5
THC00046B,5
THC00149A,5
THC00149B,5
THC00173A,5
THC00173B,5
THC00202A,5
THC00202B,5
THC00267A,5
THC00267B,5
THC00669A,5
THC00669B,5
THC00776A,5
THC00776B,5
THC01402A,5
THC01402B,5
THC01767A,5
THC01767B,5
THC01775A,5
THC01775B,5
THC02047A,5
THC02047B,5
THC02089A,5
THC02089B,5
THC02268A,5
THC02268B,5
THC02273A,5
THC02273B,5
THC02590A,5
THC02590B,5
THC02967A,5
THC02967B,5
THC03031A,5
THC03031B,5
THC03053A,5
THC03053B,5
THC03115A,5
THC03115B,5
THC01661A,5
THC01661B,5
THC02414A,5
THC02414B,5
THC03047A,5
THC03047B,5
THC01285A,5
THC01285B,5
THC02310A,5
THC02310B,5
THC_02322,5
THC_03693A,5
THC_03693B,5
THC_03694,5
THC_03695,5
THC_03696,5
THC_03697A,5
THC_03697B,5
THC_03698,5
THC_03699,5
THC_03700,5
THC_03701,5
THC_03702,5
THC_03703,5
THC_03704,5
THC_03705,5
THC_03706,5
THC_03707,5
THC_03708,5
THC_03709,5
THC_03710,5
THC_03711,5
THC_03712,5
THC_03713,5
THC_03714,5
THC_03715A,5
THC_03715B,5
THC02122,5
THC03716,5
THC03718,5
THC03719,5
THC03720,5
THC03721A,5
THC03721B,5
THC03722A,5
THC03722B,5
THC03723,5
THC03724,5
THC03725,5
THC03726,5
THC03727,5
THC03728,5
THC03729A,5
THC03729B,5
THC03730,5
THC03731,5
THC03732,5
THC03733,5
THC03734,5
THC03736,5
THC03737,5
THC03738A,5
THC03738B,5
THC03739,5
